date_year_n,drug_type,n_eventos,n_lbs_drug,n_kgs_drug,pos_n_eventos,info
2022,Marihuana,9534,129353.88228114038,58673.62746390246,1,"Durante 2022, se registraron 9,534 eventos de decomiso de Marihuana, sumando un total de 58,673.6 kg de droga."
2023,Khat,3,0.2173096516534,0.0985694848934657,10,"Hasta Julio 2023, se han registrado 3 eventos de decomiso de Khat, sumando 0.1 kg de droga."
2023,Ketamina,15,112.100540750629,50.847684279077804,9,"Hasta Julio 2023, se han registrado 15 eventos de decomiso de Ketamina, sumando 50.8 kg de droga."
2023,LSD,15,0.23327111942220002,0.10580944705871571,8,"Hasta Julio 2023, se han registrado 15 eventos de decomiso de LSD, sumando 0.1 kg de droga."
2023,Éxtasis,44,85.680181994814,38.86367375102768,7,"Hasta Julio 2023, se han registrado 44 eventos de decomiso de Éxtasis, sumando 38.9 kg de droga."
2023,Heroína,114,657.1520080085842,298.0775793126137,6,"Hasta Julio 2023, se han registrado 114 eventos de decomiso de Heroína, sumando 298.1 kg de droga."
2023,Cocaína,692,15735.529431120478,7137.478794661937,5,"Hasta Julio 2023, se han registrado 692 eventos de decomiso de Cocaína, sumando 7,137.5 kg de droga."
2023,Fentanilo,757,16302.067175975522,7394.454650350737,4,"Hasta Julio 2023, se han registrado 757 eventos de decomiso de Fentanilo, sumando 7,394.5 kg de droga."
2023,Metanfetamina,1133,66302.47486321046,30074.139573203633,3,"Hasta Julio 2023, se han registrado 1,133 eventos de decomiso de Metanfetamina, sumando 30,074.1 kg de droga."
2023,Otras drogas,1411,3356.1575050093834,1522.3194826972062,2,"Hasta Julio 2023, se han registrado 1,411 eventos de decomiso de otras drogas, sumando 1,522.3 kg de droga."
2023,Marihuana,4233,45552.545249576695,20662.17899975549,1,"Hasta Julio 2023, se han registrado 4,233 eventos de decomiso de Marihuana, sumando 20,662.2 kg de droga."
