date_year,cve_geo,nombre_estado,total_n_victimas_x100milhab_arma_fuego
2018-06-15,18,Nayarit,25.36465760151147
2018-06-15,19,Nuevo León,18.87873400765296
2018-06-15,20,Oaxaca,32.27866411617043
2018-06-15,21,Puebla,19.836387161146174
2018-06-15,22,Querétaro,10.743834365741872
2018-06-15,23,Quintana Roo,43.68846053070161
2018-06-15,24,San Luis Potosí,21.00661884723712
2018-06-15,25,Sinaloa,36.20242458046431
2018-06-15,26,Sonora,24.452990982452953
2018-06-15,27,Tabasco,20.25098953698874
2018-06-15,28,Tamaulipas,28.877849508443894
2018-06-15,29,Tlaxcala,6.914390184242476
2018-06-15,30,Veracruz,20.161393539918954
2018-06-15,31,Yucatán,1.0075513785493189
2018-06-15,32,Zacatecas,40.59042849533792
2019-06-15,00,Nacional,29.589123088032252
2019-06-15,01,Aguascalientes,11.000196332618088
2019-06-15,02,Baja California,72.16565986856773
2019-06-15,03,Baja California Sur,6.392916147503378
2019-06-15,04,Campeche,5.661243978252278
2019-06-15,05,Coahuila,7.8736049252719
2019-06-15,06,Colima,86.89433702589288
2019-06-15,07,Chiapas,8.675362448675937
2019-06-15,08,Chihuahua,62.405719288161585
2019-06-15,09,Ciudad de México,29.91521738409137
2019-06-15,10,Durango,7.257660487725618
2019-06-15,11,Guanajuato,65.71678767845631
2019-06-15,12,Guerrero,52.0179929544056
2019-06-15,13,Hidalgo,12.66506996320345
2019-06-15,14,Jalisco,27.94600319325231
2019-06-15,15,Estado de México,23.860197212405573
2019-06-15,16,Michoacán,58.81185873816678
2019-06-15,17,Morelos,39.03856739496844
2019-06-15,18,Nayarit,10.717949503146484
2019-06-15,19,Nuevo León,22.391397836096694
2019-06-15,20,Oaxaca,31.242300064828967
2019-06-15,21,Puebla,21.89208153014952
2019-06-15,22,Querétaro,11.333625131890834
2019-06-15,23,Quintana Roo,41.65150667673109
2019-06-15,24,San Luis Potosí,20.765224796689893
2019-06-15,25,Sinaloa,28.2089194972877
2019-06-15,26,Sonora,36.791413145769795
2019-06-15,27,Tabasco,28.00780942896826
2019-06-15,28,Tamaulipas,16.615421796748077
2019-06-15,29,Tlaxcala,8.687982164603394
2019-06-15,30,Veracruz,21.641209748510086
2019-06-15,31,Yucatán,0.6016728223526611
2019-06-15,32,Zacatecas,38.84212657289271
2020-06-15,00,Nacional,27.709406433252784
2020-06-15,01,Aguascalientes,8.104117303664022
2020-06-15,02,Baja California,65.4662523162627
2020-06-15,03,Baja California Sur,4.539331466891098
2020-06-15,04,Campeche,6.2820825423055675
2020-06-15,05,Coahuila,5.348560361475101
2020-06-15,06,Colima,71.80032263173011
2020-06-15,07,Chiapas,6.3689141001459255
2020-06-15,08,Chihuahua,65.2568425917353
2020-06-15,09,Ciudad de México,20.98023561083184
2020-06-15,10,Durango,7.803439433201213
2020-06-15,11,Guanajuato,75.18597796672603
2020-06-15,12,Guerrero,39.9449437562414
2020-06-15,13,Hidalgo,12.555244673924642
2020-06-15,14,Jalisco,23.86084449523265
2020-06-15,15,Estado de México,23.44404305488934
2020-06-15,16,Michoacán,57.42953753902217
2020-06-15,17,Morelos,35.90056492210227
2020-06-15,18,Nayarit,8.621446646816052
2020-06-15,19,Nuevo León,22.6719704515989
2020-06-15,20,Oaxaca,26.305493352868215
2020-06-15,21,Puebla,15.495397091548266
2020-06-15,22,Querétaro,9.587493940662505
2020-06-15,23,Quintana Roo,27.551822977166758
2020-06-15,24,San Luis Potosí,28.902770731034643
2020-06-15,25,Sinaloa,24.125154678607807
2020-06-15,26,Sonora,41.53501698372507
2020-06-15,27,Tabasco,23.643190249007457
2020-06-15,28,Tamaulipas,12.76428536270176
2020-06-15,29,Tlaxcala,5.25566626519216
2020-06-15,30,Veracruz,21.066709983380434
2020-06-15,31,Yucatán,0.6770701313473738
2020-06-15,32,Zacatecas,61.929354392551964
2021-06-15,00,Nacional,26.10500292600714
2021-06-15,01,Aguascalientes,5.9077374384186285
2021-06-15,02,Baja California,54.55118029267917
2021-06-15,03,Baja California Sur,3.3660643014454843
2021-06-15,04,Campeche,10.300695350032495
2021-06-15,05,Coahuila,2.938583602703497
2021-06-15,06,Colima,57.99696651811069
2021-06-15,07,Chiapas,7.7607101689328575
2021-06-15,08,Chihuahua,57.55614579955663
2021-06-15,09,Ciudad de México,17.09328154230792
2021-06-15,10,Durango,8.769181247212844
2021-06-15,11,Guanajuato,62.10211375433431
2021-06-15,12,Guerrero,38.57342791048742
2021-06-15,13,Hidalgo,10.038167201666145
2021-06-15,14,Jalisco,26.640393298051535
2021-06-15,15,Estado de México,22.127054169642676
2021-06-15,16,Michoacán,62.78537991118738
2021-06-15,17,Morelos,42.52407788977002
2021-06-15,18,Nayarit,9.565731596639187
2021-06-15,19,Nuevo León,22.578309548290402
2021-06-15,20,Oaxaca,22.43364544606473
2021-06-15,21,Puebla,13.257085364680815
2021-06-15,22,Querétaro,7.309098528272404
2021-06-15,23,Quintana Roo,26.17837542268782
2021-06-15,24,San Luis Potosí,29.24671684811875
2021-06-15,25,Sinaloa,18.082464433245516
2021-06-15,26,Sonora,48.90635276658178
2021-06-15,27,Tabasco,18.716061780204633
2021-06-15,28,Tamaulipas,12.148205903255002
2021-06-15,29,Tlaxcala,5.649574290091153
2021-06-15,30,Veracruz,17.947053491548928
2021-06-15,31,Yucatán,0.7110584649000629
2021-06-15,32,Zacatecas,85.23604222053481
2022-06-15,00,Nacional,24.707488269521686
2022-06-15,01,Aguascalientes,7.2428486928670015
2022-06-15,02,Baja California,54.30321303297375
2022-06-15,03,Baja California Sur,2.82610948348139
2022-06-15,04,Campeche,15.759774497723296
2022-06-15,05,Coahuila,2.443749469248162
2022-06-15,06,Colima,97.97313914179782
2022-06-15,07,Chiapas,6.089155469954879
2022-06-15,08,Chihuahua,44.35296236231728
2022-06-15,09,Ciudad de México,13.574889874517787
2022-06-15,10,Durango,7.801363487283778
2022-06-15,11,Guanajuato,61.6587751190335
2022-06-15,12,Guerrero,35.7227084479761
2022-06-15,13,Hidalgo,9.96761778009868
2022-06-15,14,Jalisco,22.178574294639237
2022-06-15,15,Estado de México,22.67019968878534
2022-06-15,16,Michoacán,55.30953139708489
2022-06-15,17,Morelos,44.916458362046484
2022-06-15,18,Nayarit,9.150597721735798
2022-06-15,19,Nuevo León,30.00575178599025
2022-06-15,20,Oaxaca,26.85804674148282
2022-06-15,21,Puebla,14.886915851561625
2022-06-15,22,Querétaro,11.043714770749226
2022-06-15,23,Quintana Roo,24.934742289575812
2022-06-15,24,San Luis Potosí,22.885586863879627
2022-06-15,25,Sinaloa,14.462220255445779
2022-06-15,26,Sonora,40.83655284433473
2022-06-15,27,Tabasco,12.790164077782176
2022-06-15,28,Tamaulipas,7.28234215454937
2022-06-15,29,Tlaxcala,5.591317687201617
2022-06-15,30,Veracruz,15.2214992488227
2022-06-15,31,Yucatán,0.6197320196116263
2022-06-15,32,Zacatecas,74.11996039739333
2023-06-15,00,Nacional,14.131965055307711
2023-06-15,01,Aguascalientes,4.831752423653347
2023-06-15,02,Baja California,28.47518146071198
2023-06-15,03,Baja California Sur,1.4980997181267761
2023-06-15,04,Campeche,9.049859464100996
2023-06-15,05,Coahuila,1.3869048444586216
2023-06-15,06,Colima,58.35715370244453
2023-06-15,07,Chiapas,3.901551741302903
2023-06-15,08,Chihuahua,27.48271501868318
2023-06-15,09,Ciudad de México,7.959541239803736
2023-06-15,10,Durango,2.684977864726603
2023-06-15,11,Guanajuato,36.40336611245215
2023-06-15,12,Guerrero,26.330282738404897
2023-06-15,13,Hidalgo,5.328705208282667
2023-06-15,14,Jalisco,12.443462093974812
2023-06-15,15,Estado de México,12.907671579467031
2023-06-15,16,Michoacán,24.17888252355623
2023-06-15,17,Morelos,29.88885972769131
2023-06-15,18,Nayarit,5.640881399309494
2023-06-15,19,Nuevo León,17.284320460975408
2023-06-15,20,Oaxaca,14.9645678782277
2023-06-15,21,Puebla,9.149579850424637
2023-06-15,22,Querétaro,6.255094481247422
2023-06-15,23,Quintana Roo,18.023317419338227
2023-06-15,24,San Luis Potosí,10.985816696530803
2023-06-15,25,Sinaloa,10.08687118938212
2023-06-15,26,Sonora,21.059572305721385
2023-06-15,27,Tabasco,7.414085213910616
2023-06-15,28,Tamaulipas,5.589338797499883
2023-06-15,29,Tlaxcala,3.680386723712661
2023-06-15,30,Veracruz,9.198699785921168
2023-06-15,31,Yucatán,0.3669907330762223
2023-06-15,32,Zacatecas,35.2344277792269
